time;value
2023-07-10T17:43:49.104Z;2201.71035
2023-07-10T17:43:50.042Z;2201.71035
2023-07-10T17:43:51.051Z;2199.714778
2023-07-10T17:43:52.045Z;2199.382743
2023-07-10T17:43:53.040Z;2202.574564
2023-07-10T17:43:54.048Z;2203.337024
2023-07-10T17:43:55.049Z;2201.83868
2023-07-10T17:43:56.085Z;2201.130031
2023-07-10T17:43:57.067Z;2203.473069
2023-07-10T17:43:58.057Z;2203.849881
2023-07-10T17:43:59.039Z;2201.478816
2023-07-10T17:44:00.061Z;2200.012389
2023-07-10T17:44:01.046Z;2197.967226
2023-07-10T17:44:02.064Z;2198.862236
2023-07-10T17:44:03.047Z;2200.579849
2023-07-10T17:44:04.070Z;2197.891455
2023-07-10T17:44:05.062Z;2195.635992
2023-07-10T17:44:06.048Z;2200.386299
2023-07-10T17:44:07.063Z;2201.455603
2023-07-10T17:44:08.065Z;2200.70376
2023-07-10T17:44:09.066Z;2199.376346
2023-07-10T17:44:10.054Z;2199.13347
2023-07-10T17:44:11.069Z;2200.022743
2023-07-10T17:44:12.070Z;2199.678442
2023-07-10T17:44:13.063Z;2197.889608
2023-07-10T17:44:14.063Z;2197.926538
2023-07-10T17:44:15.071Z;2198.893099
2023-07-10T17:44:16.059Z;2198.662752
2023-07-10T17:44:17.059Z;2198.171525
2023-07-10T17:44:18.058Z;2195.766761
2023-07-10T17:44:19.077Z;2195.115485
2023-07-10T17:44:20.071Z;2195.902147
2023-07-10T17:44:21.080Z;1634.32175
2023-07-10T17:44:22.076Z;55.118378
2023-07-10T17:44:23.079Z;52.219289
2023-07-10T17:44:24.094Z;52.137121
2023-07-10T17:44:25.117Z;52.139099
2023-07-10T17:44:26.085Z;52.169038
2023-07-10T17:44:27.091Z;52.313986
2023-07-10T17:44:28.075Z;52.252789
2023-07-10T17:44:29.080Z;52.29295
2023-07-10T17:44:30.081Z;52.215728
2023-07-10T17:44:31.090Z;52.315767
2023-07-10T17:44:32.083Z;52.172797
2023-07-10T17:44:33.080Z;52.170357
2023-07-10T17:44:34.081Z;52.274815
2023-07-10T17:44:35.085Z;52.226213
2023-07-10T17:44:36.081Z;52.322955
2023-07-10T17:44:37.084Z;52.230038
2023-07-10T17:44:38.086Z;52.754303
2023-07-10T17:44:39.080Z;35.523376
2023-07-10T17:44:40.088Z;29.950401
2023-07-10T17:44:41.092Z;31.154431
